times,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,p1,p2,p3,p4,p5
0.000000E+00,6.988560E-01,7.897916E+00,1.320718E-01,1.518477E+00,5.315196E-01,1.573456E-01,1.319340E-01,1.430573E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00, 0.0064795486, 0.0276366147, 0.0360094244, 0.0227308939, 0.0432777117
2.000000E+01,6.980555E-01,7.897078E+00,1.319284E-01,1.516906E+00,5.316516E-01,1.571769E-01,1.319372E-01,1.431637E-01,6.389092E-07,5.109872E-05,6.330404E-05,1.020646E-05,1.485178E-05,5.793435E-05,9.243845E-05,7.515482E-08,1.629538E-05,2.156236E-07,1.018377E-05,8.540055E-06,9.111051E-09,4.581504E-06,1.272640E-07,2.434720E-05,2.714621E-05,5.061312E-05, 0.0064795486, 0.0276366147, 0.0360094244, 0.0227308939, 0.0432777117
4.000000E+01,6.972531E-01,7.896232E+00,1.318005E-01,1.515462E+00,5.317752E-01,1.570124E-01,1.319399E-01,1.432665E-01,4.423406E-06,1.156132E-04,1.266775E-04,3.668316E-05,3.030822E-05,1.523618E-04,1.847767E-04,4.701762E-07,3.533256E-05,9.175404E-07,2.125468E-05,1.711209E-05,3.610654E-08,9.927977E-06,5.191062E-07,7.995951E-05,5.427219E-05,6.770344E-05, 0.0064795486, 0.0276366147, 0.0360094244, 0.0227308939, 0.0432777117
6.000000E+01,6.964525E-01,7.895394E+00,1.316873E-01,1.514008E+00,5.319059E-01,1.568472E-01,1.319419E-01,1.433692E-01,1.298393E-05,1.801728E-04,1.900341E-04,7.455971E-05,4.573218E-05,2.493376E-04,2.769996E-04,1.287904E-06,5.388488E-05,2.116731E-06,3.225613E-05,2.570939E-05,8.047524E-08,1.530404E-05,1.171259E-06,1.467958E-04,8.134721E-05,7.346506E-05, 0.0064795486, 0.0276366147, 0.0360094244, 0.0227308939, 0.0432777117
8.000000E+01,6.956528E-01,7.894552E+00,1.315880E-01,1.512555E+00,5.320343E-01,1.566850E-01,1.319443E-01,1.434730E-01,2.689825E-05,2.446899E-04,2.533736E-04,1.204226E-04,6.112592E-05,3.464186E-04,3.691043E-04,2.550595E-06,7.197535E-05,3.786785E-06,4.318823E-05,3.433540E-05,1.417286E-07,2.070784E-05,2.083523E-06,2.176436E-04,1.083746E-04,7.540704E-05, 0.0064795486, 0.0276366147, 0.0360094244, 0.0227308939, 0.0432777117
1.000000E+02,6.948519E-01,7.893706E+00,1.315006E-01,1.511108E+00,5.321598E-01,1.565244E-01,1.319464E-01,1.435752E-01,4.613727E-05,3.091670E-04,3.166911E-04,1.718713E-04,7.647751E-05,4.434263E-04,4.610905E-04,4.257930E-06,8.959334E-05,5.936788E-06,5.404789E-05,4.298157E-05,2.193793E-07,2.613929E-05,3.262351E-06,2.899169E-04,1.353814E-04,7.606637E-05, 0.0064795486, 0.0276366147, 0.0360094244, 0.0227308939, 0.0432777117
1.200000E+02,6.940522E-01,7.892864E+00,1.314254E-01,1.509661E+00,5.322870E-01,1.563613E-01,1.319504E-01,1.436768E-01,7.034551E-05,3.735977E-04,3.799880E-04,2.272218E-04,9.180165E-05,5.403433E-04,5.529577E-04,6.403453E-06,1.067594E-04,8.547130E-06,6.483819E-05,5.165390E-05,3.129394E-07,3.159954E-05,4.715095E-06,3.626857E-04,1.623441E-04,7.628841E-05, 0.0064795486, 0.0276366147, 0.0360094244, 0.0227308939, 0.0432777117
1.400000E+02,6.932536E-01,7.892018E+00,1.313605E-01,1.508211E+00,5.324161E-01,1.561985E-01,1.319527E-01,1.437774E-01,9.901189E-05,4.379914E-04,4.432699E-04,2.852977E-04,1.070916E-04,6.371830E-04,6.447095E-04,8.978821E-06,1.234906E-04,1.159999E-05,7.556089E-05,6.035196E-05,4.219414E-07,3.708620E-05,6.400680E-06,4.356126E-04,1.892658E-04,7.636020E-05, 0.0064795486, 0.0276366147, 0.0360094244, 0.0227308939, 0.0432777117
1.600000E+02,6.924539E-01,7.891176E+00,1.313045E-01,1.506760E+00,5.325421E-01,1.560412E-01,1.319560E-01,1.438773E-01,1.315730E-04,5.023377E-04,5.065288E-04,3.452675E-04,1.223399E-04,7.339363E-04,7.363427E-04,1.197531E-05,1.398054E-04,1.507684E-05,8.621579E-05,6.906869E-05,5.459751E-07,4.260093E-05,8.364763E-06,5.085778E-04,2.161570E-04,7.638634E-05, 0.0064795486, 0.0276366147, 0.0360094244, 0.0227308939, 0.0432777117
1.800000E+02,6.916537E-01,7.890334E+00,1.312577E-01,1.505311E+00,5.326661E-01,1.558855E-01,1.319584E-01,1.439772E-01,1.674770E-04,5.666424E-04,5.697667E-04,4.065526E-04,1.375463E-04,8.305975E-04,8.278591E-04,1.538437E-05,1.557029E-04,1.897765E-05,9.680068E-05,7.780845E-05,6.845462E-07,4.814269E-05,1.056138E-05,5.815405E-04,2.430177E-04,7.639587E-05, 0.0064795486, 0.0276366147, 0.0360094244, 0.0227308939, 0.0432777117
2.000000E+02,6.908548E-01,7.889489E+00,1.312186E-01,1.503864E+00,5.327889E-01,1.557295E-01,1.319605E-01,1.440756E-01,2.062096E-04,6.309035E-04,6.329900E-04,4.687433E-04,1.527300E-04,9.271662E-04,9.192574E-04,1.919761E-05,1.711922E-04,2.329513E-05,1.073201E-04,8.656822E-05,8.372640E-07,5.371580E-05,1.302846E-05,6.544828E-04,2.698304E-04,7.639707E-05, 0.0064795486, 0.0276366147, 0.0360094244, 0.0227308939, 0.0432777117
2.200000E+02,6.900586E-01,7.888643E+00,1.311865E-01,1.502417E+00,5.329200E-01,1.555684E-01,1.319625E-01,1.441730E-01,2.473110E-04,6.951238E-04,6.961991E-04,5.315569E-04,1.678840E-04,1.023652E-03,1.010541E-03,2.340694E-05,1.863045E-04,2.799748E-05,1.177755E-04,9.535397E-05,1.003646E-06,5.931650E-05,1.576825E-05,7.273936E-04,2.965905E-04,7.639182E-05, 0.0064795486, 0.0276366147, 0.0360094244, 0.0227308939, 0.0432777117
2.400000E+02,6.892580E-01,7.887797E+00,1.311616E-01,1.500974E+00,5.330412E-01,1.554152E-01,1.319669E-01,1.442704E-01,2.903778E-04,7.593042E-04,7.593776E-04,5.947933E-04,1.829968E-04,1.120062E-03,1.101706E-03,2.800390E-05,2.010419E-04,3.307716E-05,1.281583E-04,1.041619E-04,1.183375E-06,6.493824E-05,1.869625E-05,8.002795E-04,3.233484E-04,7.639868E-05, 0.0064795486, 0.0276366147, 0.0360094244, 0.0227308939, 0.0432777117
2.600000E+02,6.884610E-01,7.886951E+00,1.311428E-01,1.499529E+00,5.331652E-01,1.552597E-01,1.319706E-01,1.443665E-01,3.350721E-04,8.234437E-04,8.225421E-04,6.583102E-04,1.980869E-04,1.216382E-03,1.192756E-03,3.298040E-05,2.153889E-04,3.855507E-05,1.384812E-04,1.129873E-04,1.375933E-06,7.059239E-05,2.187944E-05,8.731385E-04,3.500433E-04,7.639315E-05, 0.0064795486, 0.0276366147, 0.0360094244, 0.0227308939, 0.0432777117
2.800000E+02,6.876640E-01,7.886101E+00,1.311301E-01,1.498084E+00,5.332887E-01,1.551054E-01,1.319726E-01,1.444635E-01,3.810973E-04,8.875401E-04,8.856883E-04,7.220092E-04,2.131505E-04,1.312622E-03,1.283691E-03,3.832929E-05,2.293206E-04,4.445506E-05,1.487378E-04,1.218313E-04,1.580934E-06,7.627888E-05,2.535217E-05,9.459641E-04,3.766988E-04,7.638969E-05, 0.0064795486, 0.0276366147, 0.0360094244, 0.0227308939, 0.0432777117
