times,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,p1,p2,p3,p4,p5
0.000000E+00,4.907781E-01,6.882638E+00,1.202206E-02,3.105186E-01,7.703762E-02,1.653576E-01,1.166050E-01,5.193672E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00, 0.0437816914, 0.0169274567, 0.0220828194, 0.0463048782, 0.0444089006
2.000000E+01,4.833463E-01,6.875942E+00,1.196060E-02,3.054930E-01,7.782479E-02,1.622305E-01,1.171627E-01,5.039977E-02,4.290485E-06,3.441258E-04,4.103292E-04,6.232797E-05,8.616562E-05,3.952810E-04,6.185662E-04,5.104465E-07,8.020043E-05,3.331082E-05,6.481413E-05,5.860840E-05,5.050274E-08,3.329502E-05,1.777094E-05,1.577234E-04,2.051458E-04,3.513792E-04, 0.0437816914, 0.0169274567, 0.0220828194, 0.0463048782, 0.0444089006
4.000000E+01,4.759293E-01,6.869123E+00,1.200653E-02,3.015321E-01,7.856691E-02,1.592132E-01,1.176907E-01,4.888379E-02,2.968320E-05,7.753728E-04,8.202090E-04,2.219925E-04,1.738221E-04,1.027706E-03,1.236635E-03,3.134464E-06,1.266228E-04,1.235487E-04,1.282552E-04,1.214953E-04,1.699309E-07,7.438894E-05,7.205133E-05,5.319982E-04,4.099444E-04,4.701597E-04, 0.0437816914, 0.0169274567, 0.0220828194, 0.0463048782, 0.0444089006
6.000000E+01,4.685268E-01,6.862213E+00,1.214814E-02,2.976333E-01,7.927650E-02,1.562695E-01,1.181819E-01,4.738954E-02,8.705651E-05,1.204255E-03,1.228863E-03,4.472304E-04,2.593361E-04,1.671546E-03,1.853964E-03,8.426004E-06,1.475038E-04,2.412148E-04,1.847075E-04,1.875467E-04,3.221289E-07,1.183287E-04,1.625498E-04,9.837597E-04,6.144000E-04,5.102781E-04, 0.0437816914, 0.0169274567, 0.0220828194, 0.0463048782, 0.0444089006
8.000000E+01,4.611554E-01,6.855260E+00,1.237501E-02,2.937527E-01,7.997007E-02,1.533916E-01,1.186557E-01,4.593144E-02,1.801814E-04,1.630076E-03,1.636244E-03,7.161283E-04,3.427538E-04,2.310406E-03,2.470428E-03,1.637120E-05,1.566788E-04,3.726839E-04,2.349882E-04,2.559544E-04,4.843553E-07,1.651539E-04,2.863084E-04,1.461154E-03,8.183943E-04,5.237168E-04, 0.0437816914, 0.0169274567, 0.0220828194, 0.0463048782, 0.0444089006
1.000000E+02,4.538099E-01,6.848283E+00,1.267628E-02,2.898891E-01,8.062469E-02,1.505930E-01,1.191167E-01,4.449604E-02,3.087532E-04,2.053057E-03,2.042363E-03,1.013301E-03,4.243077E-04,2.943274E-03,3.086055E-03,2.680856E-05,1.606545E-04,5.115267E-04,2.795429E-04,3.262515E-04,6.416673E-07,2.147887E-04,4.434870E-04,1.945546E-03,1.021942E-03,5.281513E-04, 0.0437816914, 0.0169274567, 0.0220828194, 0.0463048782, 0.0444089006
1.200000E+02,4.464963E-01,6.841239E+00,1.304326E-02,2.860476E-01,8.126987E-02,1.478458E-01,1.195532E-01,4.309578E-02,4.702546E-04,2.473018E-03,2.447196E-03,1.328527E-03,5.040306E-04,3.569909E-03,3.700941E-03,3.955454E-05,1.627801E-04,6.543010E-04,3.190257E-04,3.974370E-04,7.873735E-07,2.675820E-04,6.307064E-04,2.430261E-03,1.224936E-03,5.295834E-04, 0.0437816914, 0.0169274567, 0.0220828194, 0.0463048782, 0.0444089006
1.400000E+02,4.392167E-01,6.834119E+00,1.346697E-02,2.822528E-01,8.189300E-02,1.451611E-01,1.199682E-01,4.171878E-02,6.611331E-04,2.890238E-03,2.850787E-03,1.654447E-03,5.818664E-04,4.190572E-03,4.315107E-03,5.440113E-05,1.639880E-04,8.000576E-04,3.540653E-04,4.689475E-04,9.185029E-07,3.233047E-04,8.489460E-04,2.912866E-03,1.427452E-03,5.299969E-04, 0.0437816914, 0.0169274567, 0.0220828194, 0.0463048782, 0.0444089006
1.600000E+02,4.319652E-01,6.826941E+00,1.394057E-02,2.784972E-01,8.250038E-02,1.425281E-01,1.203676E-01,4.037581E-02,8.774749E-04,3.304457E-03,3.253029E-03,1.985937E-03,6.578933E-04,4.805521E-03,4.928399E-03,7.117934E-05,1.639637E-04,9.490293E-04,3.849659E-04,5.409615E-04,1.033516E-06,3.814725E-04,1.095691E-03,3.392453E-03,1.629483E-03,5.300171E-04, 0.0437816914, 0.0169274567, 0.0220828194, 0.0463048782, 0.0444089006
1.800000E+02,4.247512E-01,6.819754E+00,1.445582E-02,2.747252E-01,8.307157E-02,1.399724E-01,1.207463E-01,3.906062E-02,1.115502E-03,3.715723E-03,3.654012E-03,2.319540E-03,7.324135E-04,5.414126E-03,5.540800E-03,8.970032E-05,1.641616E-04,1.099576E-03,4.120062E-04,6.127879E-04,1.133513E-06,4.422276E-04,1.370783E-03,3.868590E-03,1.830959E-03,5.298626E-04, 0.0437816914, 0.0169274567, 0.0220828194, 0.0463048782, 0.0444089006
2.000000E+02,4.175661E-01,6.812496E+00,1.500748E-02,2.709723E-01,8.361020E-02,1.374826E-01,1.210959E-01,3.777214E-02,1.371682E-03,4.124098E-03,4.053641E-03,2.653070E-03,8.051801E-04,6.016921E-03,6.152490E-03,1.097921E-04,1.637172E-04,1.252540E-03,4.358678E-04,6.831142E-04,1.221195E-06,5.059795E-04,1.670032E-03,4.341192E-03,2.031938E-03,5.297774E-04, 0.0437816914, 0.0169274567, 0.0220828194, 0.0463048782, 0.0444089006
2.200000E+02,4.104071E-01,6.805148E+00,1.558970E-02,2.672714E-01,8.413714E-02,1.350402E-01,1.214301E-01,3.651517E-02,1.642860E-03,4.529916E-03,4.451942E-03,2.984908E-03,8.765990E-04,6.613321E-03,6.763462E-03,1.312937E-04,1.631837E-04,1.407173E-03,4.567528E-04,7.527730E-04,1.299061E-06,5.720208E-04,1.995956E-03,4.810153E-03,2.232461E-03,5.296923E-04, 0.0437816914, 0.0169274567, 0.0220828194, 0.0463048782, 0.0444089006
2.400000E+02,4.032879E-01,6.797807E+00,1.619659E-02,2.635777E-01,8.461505E-02,1.326833E-01,1.217418E-01,3.528361E-02,1.926226E-03,4.932637E-03,4.848994E-03,3.313525E-03,9.463317E-04,7.203724E-03,7.373526E-03,1.540819E-04,1.623938E-04,1.563523E-03,4.748553E-04,8.221192E-04,1.369176E-06,6.394705E-04,2.346178E-03,5.275347E-03,2.432433E-03,5.295048E-04, 0.0437816914, 0.0169274567, 0.0220828194, 0.0463048782, 0.0444089006
2.600000E+02,3.961976E-01,6.790364E+00,1.682387E-02,2.599228E-01,8.508917E-02,1.303571E-01,1.220299E-01,3.408217E-02,2.219561E-03,5.332610E-03,5.244556E-03,3.638469E-03,1.014767E-03,7.788837E-03,7.982856E-03,1.779929E-04,1.614087E-04,1.721591E-03,4.905316E-04,8.893126E-04,1.434901E-06,7.095580E-04,2.721087E-03,5.736660E-03,2.631895E-03,5.293671E-04, 0.0437816914, 0.0169274567, 0.0220828194, 0.0463048782, 0.0444089006
2.800000E+02,3.891427E-01,6.782873E+00,1.746637E-02,2.562981E-01,8.552910E-02,1.280957E-01,1.222955E-01,3.290962E-02,2.520578E-03,5.729719E-03,5.638793E-03,3.958956E-03,1.081470E-03,8.367430E-03,8.591331E-03,2.028683E-04,1.605839E-04,1.880833E-03,5.039735E-04,9.548586E-04,1.498773E-06,7.816065E-04,3.119339E-03,6.194047E-03,2.830800E-03,5.291891E-04, 0.0437816914, 0.0169274567, 0.0220828194, 0.0463048782, 0.0444089006
3.000000E+02,3.821260E-01,6.775346E+00,1.812069E-02,2.526958E-01,8.593661E-02,1.258977E-01,1.225509E-01,3.176037E-02,2.827866E-03,6.124447E-03,6.031592E-03,4.274604E-03,1.146775E-03,8.940010E-03,9.198990E-03,2.286188E-04,1.593815E-04,2.041588E-03,5.157189E-04,1.018511E-03,1.563871E-06,8.553773E-04,3.538258E-03,6.647473E-03,3.029127E-03,5.290290E-04, 0.0437816914, 0.0169274567, 0.0220828194, 0.0463048782, 0.0444089006
3.650000E+02,3.821263E-01,6.775354E+00,2.045120E-02,2.538097E-01,8.595870E-02,1.248238E-01,1.225617E-01,3.282513E-02,3.789622E-03,6.215794E-03,6.032188E-03,5.021216E-03,1.150972E-03,9.213402E-03,9.161360E-03,3.362661E-04,1.867648E-04,2.041597E-03,5.215379E-04,1.018559E-03,3.267521E-06,8.705302E-04,3.515576E-03,7.171192E-03,3.016356E-03,1.561569E-05, 0.0437816914, 0.0169274567, 0.0220828194, 0.0463048782, 0.0444089006
3.850000E+02,3.794259E-01,6.772476E+00,2.098591E-02,2.519569E-01,8.612672E-02,1.237837E-01,1.226573E-01,3.257297E-02,4.020174E-03,6.331293E-03,6.183529E-03,5.116149E-03,1.174635E-03,9.328900E-03,9.388926E-03,3.655688E-04,1.619900E-04,2.110931E-03,5.222501E-04,1.043899E-03,3.384734E-06,8.934461E-04,3.674990E-03,7.229148E-03,3.090491E-03,1.406356E-04, 0.0437816914, 0.0169274567, 0.0220828194, 0.0463048782, 0.0444089006
4.050000E+02,3.767227E-01,6.769563E+00,2.150280E-02,2.505484E-01,8.629390E-02,1.227575E-01,1.227444E-01,3.231662E-02,4.225536E-03,6.480824E-03,6.334918E-03,5.218416E-03,1.199348E-03,9.537087E-03,9.616374E-03,3.944424E-04,1.539347E-04,2.174242E-03,5.255374E-04,1.068208E-03,3.502291E-06,9.228402E-04,3.839910E-03,7.362299E-03,3.164576E-03,1.829897E-04, 0.0437816914, 0.0169274567, 0.0220828194, 0.0463048782, 0.0444089006
4.250000E+02,3.740242E-01,6.766654E+00,2.200095E-02,2.491456E-01,8.645901E-02,1.217428E-01,1.228351E-01,3.206025E-02,4.412291E-03,6.630321E-03,6.486148E-03,5.325614E-03,1.223982E-03,9.751731E-03,9.843569E-03,4.231802E-04,1.484389E-04,2.235545E-03,5.285285E-04,1.092512E-03,3.613460E-06,9.523100E-04,4.007013E-03,7.522024E-03,3.238557E-03,1.973281E-04, 0.0437816914, 0.0169274567, 0.0220828194, 0.0463048782, 0.0444089006
4.450000E+02,3.713336E-01,6.763732E+00,2.248204E-02,2.477461E-01,8.662081E-02,1.207458E-01,1.229175E-01,3.180035E-02,4.585344E-03,6.779472E-03,6.637060E-03,5.435706E-03,1.248266E-03,9.966224E-03,1.007041E-02,4.518825E-04,1.452924E-04,2.294726E-03,5.314704E-04,1.116567E-03,3.722652E-06,9.817856E-04,4.177443E-03,7.691053E-03,3.312354E-03,2.021096E-04, 0.0437816914, 0.0169274567, 0.0220828194, 0.0463048782, 0.0444089006
4.650000E+02,3.686466E-01,6.760791E+00,2.294725E-02,2.463626E-01,8.676348E-02,1.197721E-01,1.229992E-01,3.154037E-02,4.748011E-03,6.927890E-03,6.787824E-03,5.547712E-03,1.272552E-03,1.017986E-02,1.029701E-02,4.805544E-04,1.428034E-04,2.353424E-03,5.341026E-04,1.140064E-03,3.825589E-06,1.011690E-03,4.350000E-03,7.862807E-03,3.386059E-03,2.037508E-04, 0.0437816914, 0.0169274567, 0.0220828194, 0.0463048782, 0.0444089006
4.850000E+02,3.659636E-01,6.757834E+00,2.339753E-02,2.449816E-01,8.690766E-02,1.188029E-01,1.230833E-01,3.128015E-02,4.902598E-03,7.076199E-03,6.938400E-03,5.661185E-03,1.296180E-03,1.039233E-02,1.052329E-02,5.091716E-04,1.408805E-04,2.411594E-03,5.365516E-04,1.162808E-03,3.927147E-06,1.042177E-03,4.525516E-03,8.035161E-03,3.459615E-03,2.042702E-04, 0.0437816914, 0.0169274567, 0.0220828194, 0.0463048782, 0.0444089006
5.050000E+02,3.632823E-01,6.754874E+00,2.383350E-02,2.436040E-01,8.705232E-02,1.178422E-01,1.231632E-01,3.101978E-02,5.051147E-03,7.224286E-03,7.088775E-03,5.775086E-03,1.319806E-03,1.060393E-02,1.074929E-02,5.376524E-04,1.393887E-04,2.469333E-03,5.387735E-04,1.185923E-03,4.023035E-06,1.072352E-03,4.702580E-03,8.207354E-03,3.533068E-03,2.044425E-04, 0.0437816914, 0.0169274567, 0.0220828194, 0.0463048782, 0.0444089006
