times,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,p1,p2,p3,p4,p5
0.000000E+00,9.432574E-02,4.111572E+00,1.513142E-01,1.502147E+00,7.167488E-01,2.446394E-01,1.207524E-01,2.573852E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00, 0.0383011368, 0.0013571446, 0.0007529065, 0.0368765121, 0.0335081557
2.000000E+01,9.352441E-02,4.107857E+00,1.505927E-01,1.490196E+00,7.167647E-01,2.450678E-01,1.212784E-01,2.545460E-01,3.449807E-06,2.997625E-04,3.811745E-04,6.655108E-05,1.154411E-04,3.485708E-04,5.476526E-04,4.285895E-07,9.252921E-05,8.068845E-06,6.459910E-05,5.754220E-05,6.223602E-08,3.096435E-05,5.602991E-06,1.245352E-04,1.160402E-04,2.877447E-04, 0.0383011368, 0.0013571446, 0.0007529065, 0.0368765121, 0.0335081557
4.000000E+01,9.272615E-02,4.104125E+00,1.500514E-01,1.478839E+00,7.167544E-01,2.454985E-01,1.218309E-01,2.517304E-01,2.386094E-05,6.759208E-04,7.619950E-04,2.382411E-04,2.341213E-04,9.076465E-04,1.094535E-03,2.650168E-06,1.864205E-04,3.464229E-05,1.324175E-04,1.160562E-04,2.374156E-07,6.814133E-05,2.220039E-05,4.208989E-04,2.318667E-04,3.848308E-04, 0.0383011368, 0.0013571446, 0.0007529065, 0.0368765121, 0.0335081557
6.000000E+01,9.193114E-02,4.100385E+00,1.496751E-01,1.467532E+00,7.167253E-01,2.459122E-01,1.223716E-01,2.489352E-01,6.996868E-05,1.050705E-03,1.141892E-03,4.823865E-04,3.510618E-04,1.478174E-03,1.640542E-03,7.173911E-06,2.650702E-04,7.703522E-05,1.974217E-04,1.753279E-04,5.095822E-07,1.066968E-04,5.008057E-05,7.797399E-04,3.474446E-04,4.175779E-04, 0.0383011368, 0.0013571446, 0.0007529065, 0.0368765121, 0.0335081557
8.000000E+01,9.114401E-02,4.096638E+00,1.494490E-01,1.456259E+00,7.166926E-01,2.463061E-01,1.229104E-01,2.461668E-01,1.448056E-04,1.423611E-03,1.520906E-03,7.762895E-04,4.664088E-04,2.046032E-03,2.185705E-03,1.404267E-05,3.309966E-04,1.327349E-04,2.597651E-04,2.352556E-04,8.643648E-07,1.466061E-04,8.876849E-05,1.160225E-03,4.627472E-04,4.285908E-04, 0.0383011368, 0.0013571446, 0.0007529065, 0.0368765121, 0.0335081557
1.000000E+02,9.035762E-02,4.092883E+00,1.493555E-01,1.445052E+00,7.165941E-01,2.467251E-01,1.234464E-01,2.434214E-01,2.481292E-04,1.794699E-03,1.899009E-03,1.104158E-03,5.801386E-04,2.610150E-03,2.730024E-03,2.316830E-05,3.864578E-04,1.994852E-04,3.195369E-04,2.957590E-04,1.289168E-06,1.878644E-04,1.382229E-04,1.547736E-03,5.778355E-04,4.322937E-04, 0.0383011368, 0.0013571446, 0.0007529065, 0.0368765121, 0.0335081557
1.200000E+02,8.957634E-02,4.089104E+00,1.493814E-01,1.433906E+00,7.164865E-01,2.471169E-01,1.239728E-01,2.407023E-01,3.779376E-04,2.163973E-03,2.276209E-03,1.454995E-03,6.925439E-04,3.170679E-03,3.273509E-03,3.443375E-05,4.334577E-04,2.752536E-04,3.768610E-04,3.567853E-04,1.772337E-06,2.303598E-04,1.982540E-04,1.937053E-03,6.926783E-04,4.335241E-04, 0.0383011368, 0.0013571446, 0.0007529065, 0.0368765121, 0.0335081557
1.400000E+02,8.880100E-02,4.085336E+00,1.495168E-01,1.422784E+00,7.163450E-01,2.475194E-01,1.244972E-01,2.380120E-01,5.313902E-04,2.531584E-03,2.652533E-03,1.821158E-03,8.034480E-04,3.727759E-03,3.816166E-03,4.771987E-05,4.723259E-04,3.597050E-04,4.319151E-04,4.182129E-04,2.304384E-06,2.741011E-04,2.690237E-04,2.326288E-03,8.072688E-04,4.339170E-04, 0.0383011368, 0.0013571446, 0.0007529065, 0.0368765121, 0.0335081557
1.600000E+02,8.803108E-02,4.081557E+00,1.497516E-01,1.411693E+00,7.161855E-01,2.479239E-01,1.250167E-01,2.353449E-01,7.054359E-04,2.897358E-03,3.028014E-03,2.197394E-03,9.126769E-04,4.281151E-03,4.358018E-03,6.291686E-05,5.055195E-04,4.503132E-04,4.848978E-04,4.796030E-04,2.877077E-06,3.192227E-04,3.493903E-04,2.714771E-03,9.216181E-04,4.340250E-04, 0.0383011368, 0.0013571446, 0.0007529065, 0.0368765121, 0.0335081557
1.800000E+02,8.726616E-02,4.077766E+00,1.500732E-01,1.400663E+00,7.160173E-01,2.482976E-01,1.255338E-01,2.327084E-01,8.969737E-04,3.261414E-03,3.402593E-03,2.579975E-03,1.020610E-03,4.830926E-03,4.899047E-03,7.991083E-05,5.331100E-04,5.470176E-04,5.356837E-04,5.412400E-04,3.480434E-06,3.656221E-04,4.401589E-04,3.102217E-03,1.035720E-03,4.340566E-04, 0.0383011368, 0.0013571446, 0.0007529065, 0.0368765121, 0.0335081557
